,RRBI
Claude,0.7436050562756928
Gem_2.5_F,0.6926000661211882
Gem_2.5_P,0.6646987084967684
GPT_4.1_mini,0.725222757637545
GPT_4o,0.722123691825163
GPT_o3,0.7055525512473391
